Match ID,Date,Event,Winner,Loser,Title Match
1,01-01-2023,Royal Rumble,John Cena,AJ Styles,Yes
2,08-01-2023,Elimination Chamber,Roman Reigns,Seth Rollins,No
3,15-01-2023,WrestleMania,Brock Lesnar,Roman Reigns,Yes
4,22-01-2023,Backlash,Seth Rollins,Brock Lesnar,No
5,29-01-2023,Money in the Bank,Randy Orton,John Cena,Yes
6,05-02-2023,SummerSlam,AJ Styles,Bobby Lashley,No
7,12-02-2023,Survivor Series,Edge,Kevin Owens,Yes
8,19-02-2023,Extreme Rules,Drew McIntyre,Drew McIntyre,No
9,26-02-2023,Hell in a Cell,Kevin Owens,Edge,Yes
10,05-03-2023,Fastlane,Bobby Lashley,Randy Orton,No
11,12-03-2023,Royal Rumble,Charlotte Flair,Naomi,Yes
12,19-03-2023,Elimination Chamber,Becky Lynch,Asuka,No
13,26-03-2023,WrestleMania,Sasha Banks,Bayley,Yes
14,02-04-2023,Backlash,Bayley,Sasha Banks,No
15,09-04-2023,Money in the Bank,Asuka,Shayna Baszler,Yes
16,16-04-2023,SummerSlam,Shayna Baszler,Liv Morgan,No
17,23-04-2023,Survivor Series,Nia Jax,Nia Jax,Yes
18,30-04-2023,Extreme Rules,Rhea Ripley,Rhea Ripley,No
19,07-05-2023,Hell in a Cell,Liv Morgan,Becky Lynch,Yes
20,14-05-2023,Fastlane,Naomi,Charlotte Flair,No
21,21-05-2023,Royal Rumble,Finn Balor,Ricochet,Yes
22,28-05-2023,Elimination Chamber,Kofi Kingston,Xavier Woods,No
23,04-06-2023,WrestleMania,Big E,Big E,Yes
24,11-06-2023,Backlash,Xavier Woods,Kofi Kingston,No
25,18-06-2023,Money in the Bank,Ricochet,Finn Balor,Yes
26,25-06-2023,SummerSlam,Aleister Black,Velveteen Dream,No
27,02-07-2023,Survivor Series,Tommaso Ciampa,Johnny Gargano,Yes
28,09-07-2023,Extreme Rules,Johnny Gargano,Tommaso Ciampa,No
29,16-07-2023,Hell in a Cell,Adam Cole,Aleister Black,Yes
30,23-07-2023,Fastlane,Velveteen Dream,Adam Cole,No
31,30-07-2023,Royal Rumble,Keith Lee,Roderick Strong,Yes
32,06-08-2023,Elimination Chamber,Damian Priest,Dexter Lumis,No
33,13-08-2023,WrestleMania,Dexter Lumis,Bronson Reed,Yes
34,20-08-2023,Backlash,Bronson Reed,Damian Priest,No
35,27-08-2023,Money in the Bank,Roderick Strong,Keith Lee,Yes
36,03-09-2023,SummerSlam,Kyle O'Reilly,Gunther,No
37,10-09-2023,Survivor Series,Pete Dunne,Walter,Yes
38,17-09-2023,Extreme Rules,Ilja Dragunov,Ilja Dragunov,No
39,24-09-2023,Hell in a Cell,Walter,Pete Dunne,Yes
40,01-10-2023,Fastlane,Gunther,Kyle O'Reilly,No
41,08-10-2023,Royal Rumble,Jinder Mahal,Shelton Benjamin,Yes
42,15-10-2023,Elimination Chamber,R-Truth,Cedric Alexander,No
43,22-10-2023,WrestleMania,Titus O'Neil,Titus O'Neil,Yes
44,29-10-2023,Backlash,Cedric Alexander,R-Truth,No
45,05-11-2023,Money in the Bank,Shelton Benjamin,Jinder Mahal,Yes
46,01-01-2023,Royal Rumble,The Miz,Elias,Yes
47,08-01-2023,Elimination Chamber,Morrison,Matt Hardy,No
48,15-01-2023,WrestleMania,Jeff Hardy,Jeff Hardy,Yes
49,22-01-2023,Backlash,John Cena,AJ Styles,No
50,29-01-2023,Money in the Bank,Roman Reigns,Seth Rollins,Yes
1,05-02-2023,SummerSlam,Brock Lesnar,Roman Reigns,No
2,12-02-2023,Survivor Series,Seth Rollins,Brock Lesnar,Yes
3,19-02-2023,Extreme Rules,Randy Orton,John Cena,No
4,26-02-2023,Hell in a Cell,AJ Styles,Bobby Lashley,Yes
5,05-03-2023,Fastlane,Edge,Kevin Owens,No
6,12-03-2023,Royal Rumble,Drew McIntyre,Drew McIntyre,Yes
7,19-03-2023,Elimination Chamber,Kevin Owens,Edge,No
8,26-03-2023,WrestleMania,Bobby Lashley,Randy Orton,Yes
9,02-04-2023,Backlash,Charlotte Flair,Naomi,No
10,09-04-2023,Money in the Bank,Becky Lynch,Asuka,Yes
11,16-04-2023,SummerSlam,Sasha Banks,Bayley,No
12,23-04-2023,Survivor Series,Bayley,Sasha Banks,Yes
13,30-04-2023,Extreme Rules,Asuka,Shayna Baszler,No
14,07-05-2023,Hell in a Cell,Shayna Baszler,Liv Morgan,Yes
15,14-05-2023,Fastlane,Nia Jax,Nia Jax,No
16,21-05-2023,Royal Rumble,Rhea Ripley,Rhea Ripley,Yes
17,28-05-2023,Elimination Chamber,Liv Morgan,Becky Lynch,No
18,04-06-2023,WrestleMania,Naomi,Charlotte Flair,Yes
19,11-06-2023,Backlash,Finn Balor,Ricochet,No
20,18-06-2023,Money in the Bank,Kofi Kingston,Xavier Woods,Yes
21,25-06-2023,SummerSlam,Big E,Big E,No
22,02-07-2023,Survivor Series,Xavier Woods,Kofi Kingston,Yes
23,09-07-2023,Extreme Rules,Ricochet,Finn Balor,No
24,16-07-2023,Hell in a Cell,Aleister Black,Velveteen Dream,Yes
25,23-07-2023,Fastlane,Tommaso Ciampa,Johnny Gargano,No
26,30-07-2023,Royal Rumble,Johnny Gargano,Tommaso Ciampa,Yes
27,06-08-2023,Elimination Chamber,Adam Cole,Aleister Black,No
28,13-08-2023,WrestleMania,Velveteen Dream,Adam Cole,Yes
29,20-08-2023,Backlash,Keith Lee,Roderick Strong,No
30,27-08-2023,Money in the Bank,Damian Priest,Dexter Lumis,Yes
31,03-09-2023,SummerSlam,Dexter Lumis,Bronson Reed,No
32,10-09-2023,Survivor Series,Bronson Reed,Damian Priest,Yes
33,17-09-2023,Extreme Rules,Roderick Strong,Keith Lee,No
34,24-09-2023,Hell in a Cell,Kyle O'Reilly,Gunther,Yes
35,01-10-2023,Fastlane,Pete Dunne,Walter,No
36,08-10-2023,Royal Rumble,Ilja Dragunov,Ilja Dragunov,Yes
37,15-10-2023,Elimination Chamber,Walter,Pete Dunne,No
38,22-10-2023,WrestleMania,Gunther,Kyle O'Reilly,Yes
39,29-10-2023,Backlash,Jinder Mahal,Shelton Benjamin,No
40,05-11-2023,Money in the Bank,R-Truth,Cedric Alexander,Yes
41,01-01-2023,Royal Rumble,Titus O'Neil,Titus O'Neil,Yes
42,08-01-2023,Elimination Chamber,Cedric Alexander,R-Truth,No
43,15-01-2023,WrestleMania,Shelton Benjamin,Jinder Mahal,Yes
44,22-01-2023,Backlash,The Miz,Elias,No
45,29-01-2023,Money in the Bank,Morrison,Matt Hardy,Yes
46,05-02-2023,SummerSlam,Jeff Hardy,Jeff Hardy,No
47,12-02-2023,Survivor Series,John Cena,AJ Styles,Yes
48,19-02-2023,Extreme Rules,Roman Reigns,Seth Rollins,No
49,26-02-2023,Hell in a Cell,Brock Lesnar,Roman Reigns,Yes
50,05-03-2023,Fastlane,Seth Rollins,Brock Lesnar,No
1,12-03-2023,Royal Rumble,Randy Orton,John Cena,Yes
2,19-03-2023,Elimination Chamber,AJ Styles,Bobby Lashley,No
3,26-03-2023,WrestleMania,Edge,Kevin Owens,Yes
4,02-04-2023,Backlash,Drew McIntyre,Drew McIntyre,No
5,09-04-2023,Money in the Bank,Kevin Owens,Edge,Yes
